Station Name,Date,ev_transpiration,rain,pan_ev,max_temp,min_temp,max_humid,min_humid,wind,solar
BALLINA AIRPORT,1/8/2025,2.6,5,0,19.8,11.3,95,55,4.09,14.61
BALLINA AIRPORT,2/8/2025,2.7,17,0,19.1,11.5,97,47,4.88,11.22
BALLINA AIRPORT,3/8/2025,2.2,14,0,19.7,4.9,96,69,6.88,10.7
BALLINA AIRPORT,4/8/2025,2.3,19.6,0,20.5,11.1,95,71,6.05,13.14
BALLINA AIRPORT,5/8/2025,2.7,0,0,22.7,10.7,97,49,2.7,15.88
BALLINA AIRPORT,6/8/2025,2.4,0,0,22.7,8.5,99,46,1.66,15.85
BALLINA AIRPORT,7/8/2025,2.6,0.2,0,20.8,11.9,96,56,4.01,13.41
BALLINA AIRPORT,8/8/2025,2.5,3.6,0,19.9,13.5,95,54,5.29,7.96
BALLINA AIRPORT,9/8/2025,2.9,32.2,0,20.8,13.6,96,57,5.99,14.07
BALLINA AIRPORT,10/8/2025,1.6,17.6,0,17.5,13.1,96,78,4.76,9.16
BALLINA AIRPORT,11/8/2025,2.2,24.2,0,18.9,10.8,96,69,4.03,14.32
BALLINA AIRPORT,12/8/2025,2.2,6.2,0,19.5,8.8,98,64,2.44,16.36
BALLINA AIRPORT,13/08/2025,1.9,0,0,19.4,8.9,99,66,2.01,12.04
BALLINA AIRPORT,14/08/2025,2.1,9.6,0,18,7.6,99,63,3.13,13.48
BALLINA AIRPORT,15/08/2025,2.3,2,0,19.5,10.4,98,68,3.03,16.6
BALLINA AIRPORT,16/08/2025,2.6,0.2,0,22.9,7.3,99,37,1.44,17.26
BALLINA AIRPORT,17/08/2025,2.7,0,0,19.8,6.2,97,41,2.48,17.38
BALLINA AIRPORT,18/08/2025,2.7,0,0,19.4,5.1,97,53,3.5,16.75
BALLINA AIRPORT,19/08/2025,1.2,4.4,0,15,9.1,97,87,3.55,8.74
BALLINA AIRPORT,20/08/2025,1.4,21.6,0,19.7,11.2,97,90,2.64,9.74
BALLINA AIRPORT,21/08/2025,2.1,73.4,0,20.6,13.8,97,69,4.62,8.6
BALLINA AIRPORT,22/08/2025,2.6,55,0,22.4,13.3,98,66,2.03,16.82
BALLINA AIRPORT,23/08/2025,3.1,0,0,21.8,8.7,97,46,2.9,18.19
BALLINA AIRPORT,24/08/2025,2.9,0.6,0,20.8,12.9,95,60,3.89,17.81
BALLINA AIRPORT,25/08/2025,3.2,0,0,20.7,10.7,97,53,5,17.27
BALLINA AIRPORT,26/08/2025,2.9,5.8,0,22.5,14.4,98,51,2.13,17.33
BALLINA AIRPORT,27/08/2025,4.5,0.2,0,28.4,12.3,96,34,3.48,18.74
BALLINA AIRPORT,28/08/2025,5.4,0,0,24.9,14.8,96,21,6.17,18.8
BALLINA AIRPORT,29/08/2025,3.8,0,0,23.6,6.4,95,31,3.02,19.03
BALLINA AIRPORT,30/08/2025,4.6,0,0,20.5,7.1,91,25,6.19,19.11
BALLINA AIRPORT,31/08/2025,3.3,0,0,19.7,7.4,96,43,3.61,19.23
BALLINA AIRPORT,1/9/2025,2,2.6,0,19.9,9.3,98,66,2.07,11.14
BALLINA AIRPORT,2/9/2025,2.6,1.6,0,21.1,9.5,99,64,1.47,18.45
